name	mod	context	context_source	default	live	seen	english	russian
gui.xaero_open_map	xaeroworldmap	UNIVERSAL	assumed	key.keyboard.m	key.keyboard.m	options+defaults	Open World Map	
gui.xaero_open_settings	xaeroworldmap	UNIVERSAL	assumed	key.keyboard.right.bracket	key.keyboard.unknown	options+defaults	Open Settings	
gui.xaero_quick_confirm	xaeroworldmap	UNIVERSAL	assumed	key.keyboard.right.shift	key.keyboard.keypad.enter	options+defaults	Quick Manual Confirmation	
gui.xaero_reverse_entity_radar	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Reverse Radar Render Order	Реверсивный радарный рендер
gui.xaero_switch_waypoint_set	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Switch Waypoint Set	Сменить набор меток
gui.xaero_toggle_dimension	xaeroworldmap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Dimension	
gui.xaero_toggle_entity_radar	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Entity Radar	Переключить радар сущностей
gui.xaero_toggle_grid	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Chunk Grid	Вкл/выкл сетку чанков
gui.xaero_toggle_light_overlay	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Light Overlay	Вкл/Выкл оверлей освещения
gui.xaero_toggle_manual_cave_mode	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Manual Cave Mode	Вкл/Выкл ручной режим пещеры
gui.xaero_toggle_map	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Minimap	Вкл/Выкл мини-карту
gui.xaero_toggle_map_waypoints	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle On-Map Waypoints	Вкл/Выкл метки на мини-карте
gui.xaero_toggle_pac_chunk_claims	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Chunk Claims	Отобразить чанки участков
gui.xaero_toggle_slime	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Slime Chunks	Вкл/выкл подсветку чанков слизней
gui.xaero_toggle_tracked_players_in_world	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Tracked Players In World	
gui.xaero_toggle_tracked_players_on_map	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Tracked Players On Map	
gui.xaero_toggle_waypoints	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle In-World Waypoints	Вкл/Выкл метки в мире
gui.xaero_waypoints_key	xaerominimap	UNIVERSAL	assumed	key.keyboard.u	key.keyboard.unknown	options+defaults	Open Waypoint Screen	Точки на карте
gui.xaero_world_map_server_settings	xaeroworldmap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Open Server Settings	
gui.xaero_zoom_in	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Zoom In Minimap	Приблизить мини-карту
gui.xaero_zoom_out	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Zoom Out Minimap	Отдалить мини-карту
iris.keybind.reload	iris	UNIVERSAL	assumed	key.keyboard.r	key.keyboard.unknown	options+defaults	Reload Shaders	Перезагрузить шейдеры
iris.keybind.shaderPackSelection	iris	UNIVERSAL	assumed	key.keyboard.o	key.keyboard.unknown	options+defaults	Shaderpack Selection Screen	Список наборов шейдеров
iris.keybind.toggleShaders	iris	UNIVERSAL	assumed	key.keyboard.k	key.keyboard.f12	options+defaults	Toggle Shaders	Переключить шейдеры
iris.keybind.wireframe	iris	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Wireframe (SP only)	
justdirethings.key.toggle_tool	justdirethings	UNIVERSAL	assumed	key.keyboard.v	key.keyboard.unknown	options+defaults	Toggle Tool Abilities	Переключить способности инструмента
justdirethings.key.toolUI	justdirethings	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Open Tool Settings UI	Открыть настройки инструмента
key.actualladditions.crafting_stick_open.desc	actuallyadditions	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Open the Crafting Stick	
key.adhooks.main_hand.jumping	adhooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Jump	
key.adhooks.main_hand.launching	adhooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Launch	
key.adhooks.main_hand.loosening	adhooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Loosen	
key.adhooks.main_hand.pulling	adhooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Pull	
key.adhooks.main_hand.unhooking	adhooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Reel/Unhook	
key.adhooks.off_hand.jumping	adhooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Jump	
key.adhooks.off_hand.launching	adhooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Launch	
key.adhooks.off_hand.loosening	adhooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Loosen	
key.adhooks.off_hand.pulling	adhooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Pull	
key.adhooks.off_hand.unhooking	adhooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Reel/Unhook	
key.advanced_ae.pattern_encoder_action	advanced_ae	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Open Advanced Pattern Encoder	Открытый усовершенствованный кодировщик шаблонов
key.advanced_ae.pick_craft	advanced_ae	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Attempt crafting targeted block	Попытка создания целевого блока
key.advanced_ae.portable_workbench	advanced_ae	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Open Portable Workbench	Открыть портативный верста
key.advanced_ae.quantum_armor_config	advanced_ae	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Open Quantum Armor Configuration	Открыть конфигурацию квантовой брони
key.advanced_ae.quantum_auto_stock_upgrade	advanced_ae	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Quantum Armor Auto Stock	Переключение режимов квантовой брони «Автозапас»
key.advanced_ae.quantum_magnet_upgrade	advanced_ae	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Quantum Armor Magnet	Переключение режимов квантовой брони «Магнит»
key.advanced_ae.quantum_night_vision_upgrade	advanced_ae	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Quantum Armor Night Vision	Переключение режимов квантовой брони «Ночное видение»
key.advancements	minecraft	UNIVERSAL	assumed	key.keyboard.l	key.keyboard.l	options+defaults		
key.ae2.ae2wtlib_magnet	ae2wtlib	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Magnet Card	Переключить магнитную карту
key.ae2.ae2wtlib_restock	ae2wtlib	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Restock	Переключить авто пополнение
key.ae2.ae2wtlib_stow	ae2wtlib	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Stow stack in hand into ME System	
key.ae2.mouse_wheel_item_modifier	ae2	IN_GAME	bytecode	key.keyboard.left.shift	key.keyboard.unknown	options+defaults	Modifier for Mouse-Wheel Items	Модификатор для предметов колёсика мыши
key.ae2.part_placement_opposite	ae2	IN_GAME	bytecode	key.keyboard.left.control	key.keyboard.unknown	options+defaults	Place Parts on Opposite Side	Поместите части на противоположную сторону
key.ae2.portable_fluid_cell	ae2	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Open Portable Fluid Cell	Открыть переносную жидкостную ячейку
key.ae2.portable_item_cell	ae2	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Open Portable Item Cell	Открыть переносную предметную ячейку
key.ae2.wireless_pattern_access_terminal	ae2wtlib	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Open Wireless Pattern Access Terminal	Открыть беспроводной терминал шаблонов
key.ae2.wireless_pattern_encoding_terminal	ae2wtlib	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Open Wireless Pattern Encoding Terminal	Открыть беспроводной терминал интерфейса
key.ae2.wireless_quantum_crafter_terminal	advanced_ae	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Open Wireless Quantum Crafter Terminal	Open Wireless Quantum Crafter Terminal
key.ae2.wireless_requester_terminal	merequester	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Open Wireless Requester Terminal	
key.ae2.wireless_terminal	ae2	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Open Wireless Terminal	Открыть беспроводной терминал
key.aether.gravitite_jump_ability.desc	aether	UNIVERSAL	assumed	key.keyboard.space	key.keyboard.unknown	options+defaults	Activate Gravitite Jump	Активировать Гравититовый прыжок
key.aether.invisibility_toggle.desc	aether	UNIVERSAL	assumed	key.keyboard.v	key.keyboard.unknown	options+defaults	Toggle Invisibility	Переключить невидимость
key.aether.open_accessories.desc	aether	UNIVERSAL	assumed	key.keyboard.i	key.keyboard.unknown	options+defaults	Open/Close Accessories Inventory	Откр/Закр инвентарь Аксессуаров
key.apotheosis.compare_equipment	apotheosis	UNIVERSAL	assumed	key.keyboard.left.shift	key.keyboard.unknown	options+defaults	Compare Hovered Equipment	Сравнить экипировку под курсором
key.apotheosis.link_item_to_chat	apotheosis	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Link Hovered Item to Chat	Отправить предмет под курсором в чат
key.apotheosis.open_world_tier_select	apotheosis	UNIVERSAL	assumed	key.keyboard.t:CONTROL	key.keyboard.unknown	options+defaults	Open World Tier Select	Открыть выбор уровня мира
key.apotheosis.toggle_radial_mining	apotheosis	UNIVERSAL	assumed	key.keyboard.o:CONTROL	key.keyboard.minus	options+defaults	Change Radial Mining Mode	Изменить режим радиальной добычи
key.armorhider.open_settings	armor_hider	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Armor Hider - Settings	
key.armorhider.preset	armor_hider	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Armor Hider - Load Preset	
key.armorhider.toggle_keybind	armor_hider	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Armor Hider - Toggle	
key.ars_additions.open_lectern	ars_additions	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	options+defaults	[Ars Additions] Activate Warp Index	
key.ars_elemental.open_pouch	ars_elemental	UNIVERSAL	assumed	key.keyboard.j	key.keyboard.unknown	options+defaults	[Elemental] Open trinkets pouch	[Элементаль] Открыть мешочек для безделушек
key.ars_nouveau.familiar_toggle	ars_nouveau	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Summon/Dispel Familiar	Призвать/рассеять фамильяра
key.ars_nouveau.head_curio_hotkey	ars_nouveau	UNIVERSAL	assumed	key.keyboard.g	key.keyboard.unknown	options+defaults	Head Curio Menu	Главное меню Curio
key.ars_nouveau.next_slot	ars_nouveau	UNIVERSAL	assumed	key.keyboard.x	key.keyboard.period	options+defaults	(Spell Book) Next Slot	(Книга заклинаний) След. слот
key.ars_nouveau.open_book	ars_nouveau	UNIVERSAL	assumed	key.keyboard.c	key.keyboard.k	options+defaults	(Spell Book) Open Book	(Книга заклинаний) Откр. книгу
key.ars_nouveau.open_documentation	ars_nouveau	UNIVERSAL	assumed	key.keyboard.left.control	key.keyboard.unknown	options+defaults	Open Documentation	
key.ars_nouveau.previous_slot	ars_nouveau	UNIVERSAL	assumed	key.keyboard.z	key.keyboard.comma	options+defaults	(Spell Book) Previous Slot	(Книга заклинаний) Пред. слот
key.ars_nouveau.qc1	ars_nouveau	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Quick Cast Slot 01	Слот быстрого каста 01
key.ars_nouveau.qc10	ars_nouveau	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Quick Cast Slot 10	Слот быстрого каста 10
key.ars_nouveau.qc2	ars_nouveau	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Quick Cast Slot 02	Слот быстрого каста 02
key.ars_nouveau.qc3	ars_nouveau	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Quick Cast Slot 03	Слот быстрого каста 03
key.ars_nouveau.qc4	ars_nouveau	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Quick Cast Slot 04	Слот быстрого каста 04
key.ars_nouveau.qc5	ars_nouveau	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Quick Cast Slot 05	Слот быстрого каста 05
key.ars_nouveau.qc6	ars_nouveau	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Quick Cast Slot 06	Слот быстрого каста 06
key.ars_nouveau.qc7	ars_nouveau	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Quick Cast Slot 07	Слот быстрого каста 07
key.ars_nouveau.qc8	ars_nouveau	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Quick Cast Slot 08	Слот быстрого каста 08
key.ars_nouveau.qc9	ars_nouveau	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Quick Cast Slot 09	Слот быстрого каста 09
key.ars_nouveau.selection_hud	ars_nouveau	UNIVERSAL	assumed	key.keyboard.v	key.keyboard.unknown	options+defaults	Toggle Selection HUD	Перекл. HUD
key.attack	minecraft	UNIVERSAL	assumed	key.mouse.left	key.mouse.left	options+defaults		
key.back	minecraft	UNIVERSAL	assumed	key.keyboard.s	key.keyboard.s	options+defaults		
key.bankstorage.cyclebuildmode	bankstorage	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Cycle build mode	
key.bankstorage.enablescroll	bankstorage	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Enable block selection scroll	
key.bankstorage.lockslot	bankstorage	GUI	bytecode	key.keyboard.left.alt	key.keyboard.unknown	options+defaults	Filter Slot	
key.bankstorage.openbankfromkeybind	bankstorage	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Open bank	
key.bankstorage.togglebuildmode	bankstorage	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle build mode	
key.bankstorage.togglepickupmode	bankstorage	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle pickup mode	
key.betterblockz.cycle_pillar_axis	betterblockz	UNIVERSAL	assumed		key.keyboard.unknown	options	BlockZ Cycler Pillar Axis Toggle	
key.betterblockz.scroll_modifier	betterblockz	UNIVERSAL	assumed		key.keyboard.unknown	options	BlockZ Mouse Scroll Modifier	
key.betterblockz.switch	betterblockz	UNIVERSAL	assumed		key.keyboard.unknown	options	Switch BlockZ Variant Screen	
key.blockprints.cancel_selection	blockprints	UNIVERSAL	assumed	key.keyboard.backspace	key.keyboard.unknown	options+defaults	Cancel Selection	
key.blockprints.confirm_selection	blockprints	UNIVERSAL	assumed	key.keyboard.enter	key.keyboard.unknown	options+defaults	Confirm Selection	
key.blockprints.open_menu	blockprints	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Open Menu	
key.blockprints.tool_menu	blockprints	UNIVERSAL	assumed	key.keyboard.left.alt	key.keyboard.unknown	options+defaults		
key.bridgingmod.toggle_bridging	bridgingmod	UNIVERSAL	assumed	key.keyboard.comma	key.keyboard.unknown	options+defaults	Toggle Reacharound Placement	Переключить размещение с обходом
key.buildinggadgets2.anchor	buildinggadgets2	UNIVERSAL	assumed	key.keyboard.h	key.keyboard.unknown	options+defaults	Anchor	
key.buildinggadgets2.range	buildinggadgets2	UNIVERSAL	assumed	key.keyboard.r	key.keyboard.unknown	options+defaults	Range	
key.buildinggadgets2.settings_menu	buildinggadgets2	UNIVERSAL	assumed	key.keyboard.g	key.keyboard.unknown	options+defaults	Settings Menu	
key.buildinggadgets2.undo	buildinggadgets2	UNIVERSAL	assumed	key.keyboard.u	key.keyboard.unknown	options+defaults	Undo	
key.calmtheleaks.panel	calmtheleaks	IN_GAME	bytecode		key.keyboard.unknown	options	Open Calm The Leaks diagnostics	
key.cataclysm.ability	cataclysm	UNIVERSAL	assumed	key.keyboard.x	key.keyboard.semicolon	options+defaults	Cataclysm Ability	Способности Cataclysm
key.cataclysm.boots_ability	cataclysm	UNIVERSAL	assumed	key.keyboard.v	key.keyboard.unknown	options+defaults	Cataclysm Boots Ability	Способности ботинков Cataclysm
key.cataclysm.chestplate_ability	cataclysm	UNIVERSAL	assumed	key.keyboard.y	key.keyboard.unknown	options+defaults	Cataclysm Chestplate Ability	Способности поножи Cataclysm
key.cataclysm.helmet_ability	cataclysm	UNIVERSAL	assumed	key.keyboard.c	key.keyboard.unknown	options+defaults	Cataclysm Helmet Ability	Способности шлема Cataclysm
key.changeMysticCode	mahoutsukai	UNIVERSAL	assumed	key.keyboard.y	key.keyboard.unknown	options+defaults	Change Mystic Code	Сменить Мистический код
key.chat	minecraft	UNIVERSAL	assumed	key.keyboard.t	key.keyboard.t	options+defaults		
key.clienttweaks.disableLogStripping	clienttweaks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Log Stripping	Включить зачистку журнала
key.clienttweaks.disableStepAssist	clienttweaks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Disable Step Assist	Отключить пошаговую помощь
key.clienttweaks.hideHands	clienttweaks	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Hide Hands	
key.clienttweaks.hideOffhandItem	clienttweaks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Hide Offhand Item	Переключить скрытие предмета для второй руки
key.clienttweaks.mineSingleBlock	clienttweaks	UNIVERSAL	assumed		key.keyboard.unknown	options	Mine Single Block	
key.cobblemon.downshiftparty	cobblemon	UNIVERSAL	assumed		key.keyboard.unknown	options	Party Shift Down	Выбор Покемона в команде (Вниз)
key.cobblemon.hideparty	cobblemon	UNIVERSAL	assumed		key.keyboard.unknown	options	Hide Party Overlay	Спрятать табло с командой
key.cobblemon.ridingfreelook	cobblemon	UNIVERSAL	assumed		key.keyboard.n	options	Riding Freelook	
key.cobblemon.summary	cobblemon	UNIVERSAL	assumed		key.keyboard.o	options	Open Summary	Открыть описание
key.cobblemon.throwpartypokemon	cobblemon	UNIVERSAL	assumed		key.keyboard.r	options	Throw Selected Pokémon	Вызвать выбранного Покемона
key.cobblemon.upshiftparty	cobblemon	UNIVERSAL	assumed		key.keyboard.unknown	options	Party Shift Up	Выбор Покемона в команде (Вверх)
key.command	minecraft	UNIVERSAL	assumed	key.keyboard.slash	key.keyboard.slash	options+defaults		
key.configured.open_mod_list	configured	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Open Mod List	Open Mod List
key.constructionstick.change_direction	constructionstick	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Direction	Переключить направление
key.constructionstick.change_restriction	constructionstick	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Restriction	Переключить ограничение
key.constructionstick.change_upgrade	constructionstick	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Upgrade	Переключить улучшение
key.constructionstick.open_gui	constructionstick	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Open Stick Options	Открыть настройки палочки
key.constructionstick.show_previous	constructionstick	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Show Previous	Показать предыдущее
key.constructionstick.toggle_random	constructionstick	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Random	
key.constructionstick.undo	constructionstick	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Undo Operation	Отменить операцию
key.craftingtweaks.balance	craftingtweaks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Balance Grid	Распределить по сетке
key.craftingtweaks.clear	craftingtweaks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Clear Grid	Очистить сетку
key.craftingtweaks.compress_all	craftingtweaks	UNIVERSAL	assumed	key.keyboard.k:SHIFT	key.keyboard.unknown	options+defaults	Compress All	Совместить всё
key.craftingtweaks.compress_one	craftingtweaks	UNIVERSAL	assumed	key.keyboard.k:CONTROL	key.keyboard.unknown	options+defaults	Compress Item	Совместить предмет
key.craftingtweaks.compress_stack	craftingtweaks	UNIVERSAL	assumed	key.keyboard.k	key.keyboard.unknown	options+defaults	Compress Stack	Совместить стак
key.craftingtweaks.decompress_all	craftingtweaks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Decompress All	Разложить всё
key.craftingtweaks.decompress_one	craftingtweaks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Decompress Item	Разложить предмет
